ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19696941904201,100021071,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48906,48468,48187,47906,48906
19697041897303,99993102,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48812,48531,48187,47906,48812
19697141886372,99989069,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48750,48531,48125,47906,48750
19697241900979,100014607,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48906,48500,48062,47875,48906
19697341907297,100006318,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47531,48843,48500,48062,47906,48843
19697441903567,99996270,806400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48812,48468,48031,47906,48656
19697541902109,99998542,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,48968,48468,48062,47906,48968
19697641900619,99998510,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48906,48531,48062,47875,48906
19697741881017,99980398,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48781,48562,48031,47875,48718
19697841899655,100018638,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48593,48468,48218,47906,48593
19697941884885,99985230,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48906,48531,48062,47906,48906
19698041886275,100001390,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48656,48375,48125,47906,48656
19698141907153,100020878,1036800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48656,48468,48062,47937,48656
19698241907039,99999886,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,49000,48437,48093,47968,48718
19698341901261,99994222,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48687,48531,48093,47937,48687
